n = 10; way1_Elapsed time: 0.212 us
n = 20; way1_Elapsed time: 0.734 us
n = 30; way1_Elapsed time: 1.467 us
n = 40; way1_Elapsed time: 2.516 us
n = 50; way1_Elapsed time: 3.832 us
n = 60; way1_Elapsed time: 5.287 us
n = 70; way1_Elapsed time: 7.314 us
n = 80; way1_Elapsed time: 9.714 us
n = 90; way1_Elapsed time: 12.174 us
n = 100; way1_Elapsed time: 14.994 us
n = 110; way1_Elapsed time: 17.987 us
n = 120; way1_Elapsed time: 21.581 us
n = 130; way1_Elapsed time: 25.366 us
n = 140; way1_Elapsed time: 28.87 us
n = 150; way1_Elapsed time: 32.77 us
n = 160; way1_Elapsed time: 37.602 us
n = 170; way1_Elapsed time: 42.487 us
n = 180; way1_Elapsed time: 48.193 us
n = 190; way1_Elapsed time: 53.143 us
n = 200; way1_Elapsed time: 58.957 us
n = 210; way1_Elapsed time: 65.777 us
n = 220; way1_Elapsed time: 70.149 us
n = 230; way1_Elapsed time: 76.443 us
n = 240; way1_Elapsed time: 83.397 us
n = 250; way1_Elapsed time: 91.421 us
n = 260; way1_Elapsed time: 98.85 us
n = 270; way1_Elapsed time: 105.645 us
n = 280; way1_Elapsed time: 113.153 us
n = 290; way1_Elapsed time: 122.136 us
n = 300; way1_Elapsed time: 131.562 us
n = 310; way1_Elapsed time: 144.578 us
n = 320; way1_Elapsed time: 151.269 us
n = 330; way1_Elapsed time: 160.927 us
n = 340; way1_Elapsed time: 170.839 us
n = 350; way1_Elapsed time: 180.9 us
n = 360; way1_Elapsed time: 189.74 us
n = 370; way1_Elapsed time: 199.287 us
n = 380; way1_Elapsed time: 211.801 us
n = 390; way1_Elapsed time: 223.62 us
n = 400; way1_Elapsed time: 240.082 us
n = 500; way1_Elapsed time: 409.466 us
